movement_count,span_seconds,movements_per_minute,interval_cv,burst_count,mean_burst_size,max_burst_size,duration_std_seconds,peak_amplitude_std,dominant_frequency_std_hz,dominant_direction,direction_counts,movements_early_third,movements_mid_third,movements_late_third,artifact_filtered_fraction,dataset,subject_id,record_id
398,2168.165995121002,11.01391685587583,1.2102517779569495,224,1.7767857142857142,16,0.6090698167308303,126.47105304991315,3.064732564952446,az,"{'az': 251, 'ay': 94, 'ax': 53}",119,136,143,0.0,FOUR_IMU,Sub-dataset One_record_1,Sub-dataset One_record_1
388,2280.7755699157715,10.207054261309771,1.1767009454449358,229,1.6943231441048034,12,0.4618305384478543,102.32609213336342,3.380614333589904,az,"{'az': 227, 'ay': 91, 'ax': 70}",131,126,131,0.0,FOUR_IMU,Sub-dataset One_record_10,Sub-dataset One_record_10
137,774.925623178482,10.60746961274083,1.425915807927095,68,2.014705882352941,10,0.3272443493656535,87.59981189042784,3.042652922718717,az,"{'az': 88, 'ay': 26, 'ax': 23}",30,50,57,0.0,FOUR_IMU,Sub-dataset One_record_11,Sub-dataset One_record_11
288,1804.2993187904358,9.577124937110849,1.2629637346281415,170,1.6941176470588235,11,0.5747926929793815,503.4101567859246,3.068914640872128,az,"{'az': 183, 'ay': 73, 'ax': 32}",89,115,84,0.0,FOUR_IMU,Sub-dataset One_record_12,Sub-dataset One_record_12
255,1448.656931877136,10.561506774536754,1.0657508720545963,159,1.6037735849056605,9,0.6350843433801103,101.13222815690068,3.333825335763409,az,"{'az': 133, 'ay': 79, 'ax': 43}",59,98,98,0.0,FOUR_IMU,Sub-dataset One_record_13,Sub-dataset One_record_13
343,2215.373263835907,9.289630933058133,1.120254001090512,223,1.5381165919282511,7,0.8597171467704544,279.10309818385036,3.3016293384089686,az,"{'az': 223, 'ay': 63, 'ax': 57}",104,120,119,0.0,FOUR_IMU,Sub-dataset One_record_14,Sub-dataset One_record_14
316,1825.445806026459,10.386503909021107,1.162977795468446,180,1.7555555555555555,11,1.0667693619243377,311.34711249390796,2.876405440603277,az,"{'az': 181, 'ay': 89, 'ax': 46}",106,96,114,0.0,FOUR_IMU,Sub-dataset One_record_15,Sub-dataset One_record_15
190,980.6246991157531,11.625242572698388,1.3148460224259997,105,1.8095238095238095,21,0.4679929844384499,120.03198276563181,3.13289439667686,az,"{'az': 116, 'ay': 37, 'ax': 37}",54,57,79,0.0,FOUR_IMU,Sub-dataset One_record_16,Sub-dataset One_record_16
95,614.3284351825714,9.278424493416171,1.3835206159392217,55,1.7272727272727273,9,0.43372478461600694,222.23942035000252,2.8999441012493117,az,"{'az': 64, 'ax': 17, 'ay': 14}",17,36,42,0.0,FOUR_IMU,Sub-dataset One_record_17,Sub-dataset One_record_17
377,2259.3219470977783,10.01185334788458,1.1478812022807978,224,1.6830357142857142,15,0.578495512073975,224.39451145661613,3.2346439879328197,az,"{'az': 212, 'ay': 114, 'ax': 51}",122,138,117,0.0,FOUR_IMU,Sub-dataset One_record_18,Sub-dataset One_record_18
460,2628.037106990814,10.50213481635458,1.1477969694776768,262,1.7557251908396947,12,1.1262284569089833,184.12814290459625,2.914765393140997,az,"{'az': 264, 'ay': 157, 'ax': 39}",142,141,177,0.0,FOUR_IMU,Sub-dataset One_record_19,Sub-dataset One_record_19
305,1880.9736299514775,9.729004016112695,1.180063316972115,171,1.7836257309941521,12,0.423424956330918,432.192949247159,3.4727712227704317,az,"{'az': 200, 'ay': 64, 'ax': 41}",111,96,98,0.0,FOUR_IMU,Sub-dataset One_record_2,Sub-dataset One_record_2
645,3194.6900539398193,12.113851217670902,1.084950020774164,347,1.8587896253602305,14,1.1031154789244864,497.4095406765519,2.838856783024701,az,"{'az': 336, 'ay': 206, 'ax': 103}",174,240,231,0.0,FOUR_IMU,Sub-dataset One_record_20,Sub-dataset One_record_20
433,2349.179005146026,11.059182779638824,1.1739967748967866,245,1.7673469387755103,16,1.3402551693210465,318.7386821026688,3.1342947214006127,az,"{'az': 228, 'ay': 136, 'ax': 69}",146,136,151,0.0,FOUR_IMU,Sub-dataset One_record_21,Sub-dataset One_record_21
345,1940.9330630302431,10.664973663585561,1.0573889786967492,199,1.7336683417085428,11,0.7329388106101028,427.4999519552598,2.518931869198967,az,"{'az': 190, 'ay': 107, 'ax': 48}",102,101,142,0.0,FOUR_IMU,Sub-dataset One_record_22,Sub-dataset One_record_22
376,1837.5905461311336,12.276946051718575,1.1863852731305558,202,1.8613861386138615,16,0.5467186699652538,345.4099113018822,3.1085507579393514,az,"{'az': 172, 'ay': 122, 'ax': 82}",143,135,98,0.0,FOUR_IMU,Sub-dataset One_record_23,Sub-dataset One_record_23
845,3988.8094370365147,12.710559579318373,1.1980773634552935,404,2.0915841584158414,40,1.2873137357228819,997.4354007839011,2.8752200031389576,az,"{'az': 379, 'ay': 233, 'ax': 233}",301,247,297,0.0,FOUR_IMU,Sub-dataset One_record_24,Sub-dataset One_record_24
67,430.0966329574585,9.346736737642921,1.2883945093841174,33,2.0303030303030303,8,0.7846113172058258,121.78979115357437,3.212545225532202,az,"{'az': 37, 'ay': 19, 'ax': 11}",19,18,30,0.0,FOUR_IMU,Sub-dataset One_record_25,Sub-dataset One_record_25
