dataset,segment_id,candidate_id,start_timestamp,end_timestamp,duration_seconds,sample_count,start_index,end_index,peak_activity_score,threshold_used,filtered,filter_skip_reason,subject_id,record_id,sensor_id,true_label,primary_rms,primary_peak,primary_peak_to_peak,primary_std,primary_variance,primary_zero_crossing_rate,primary_energy,primary_mean_energy,primary_dominant_frequency_hz,primary_spectral_centroid_hz,primary_band_power,primary_spectral_entropy,primary_ax_contribution,primary_ay_contribution,primary_az_contribution,primary_directional_consistency,secondary_rms,secondary_peak,secondary_peak_to_peak,secondary_std,secondary_variance,secondary_zero_crossing_rate,secondary_energy,secondary_mean_energy,sensors_involved,max_sensor_overlap_fraction
COUGH,COUGH_Trial_1_No_Talking_IMU_seg0001,COUGH_Trial_1_No_Talking_IMU_seg0001_c0001,9.611,17.023,7.411999999999999,732,948,1680,2.541902035004155,0.0343360183689964,True,,5,Trial_1_No_Talking,IMU,Trial_1_No_Talking,0.5829815269140988,2.541902035004155,2.534543003584806,0.44327854433082037,0.1964958678640511,0.04103967168262654,248.78298124930484,0.33986746072309404,0.27322404371584696,4.082798554687838,0.396833302507187,0.6572288251544781,0.045180437131407986,0.717047186776223,0.23777237609236898,0.717047186776223,60.242968645674324,298.8820436002103,298.3203924245767,42.71722872354553,1824.7616298197033,0.07660738714090287,2656585.578550388,3629.2152712436996,,
COUGH,COUGH_Trial_1_No_Talking_IMU_seg0001,COUGH_Trial_1_No_Talking_IMU_seg0001_c0002,22.701,23.147,0.4459999999999979,45,2239,2284,0.0706419494908973,0.0343360183689964,True,,5,Trial_1_No_Talking,IMU,Trial_1_No_Talking,0.03635182864979091,0.07064194949089732,0.05642472205319047,0.012243716709047676,0.00014990859885141328,0.13636363636363635,0.05946549507826917,0.0013214554461837592,4.545454545454546,8.962917605690949,2.030757694040557e-05,0.6231910843630899,0.29882880741183004,0.49303472806145565,0.20813646452671433,0.49303472806145565,8.815919820575997,18.37953127734603,16.13797435387878,4.568496606708383,20.871161245506006,0.09090909090909091,3497.419902727113,77.72044228282473,,
COUGH,COUGH_Trial_1_No_Talking_IMU_seg0001,COUGH_Trial_1_No_Talking_IMU_seg0001_c0003,24.546,25.824,1.2780000000000022,127,2421,2548,0.194645087320582,0.0343360183689964,True,,5,Trial_1_No_Talking,IMU,Trial_1_No_Talking,0.06481646520603901,0.19464508732058206,0.1855662766669306,0.03263915556220883,0.0010653144758140678,0.1746031746031746,0.5335491185493194,0.004201174161805665,1.5873015873015872,7.526928525785526,0.0004830031117224051,0.7010171814827952,0.3383149590529235,0.3085370811292052,0.3531479598178712,0.3531479598178712,17.394600804983465,43.23953615671079,40.02295300364571,8.95093142939944,80.11917345381069,0.12698412698412698,38426.661419920885,302.5721371647314,,
COUGH,COUGH_Trial_1_No_Talking_IMU_seg0001,COUGH_Trial_1_No_Talking_IMU_seg0001_c0004,31.501,31.866,0.3649999999999984,37,3107,3144,0.0518121690704969,0.0343360183689964,True,,5,Trial_1_No_Talking,IMU,Trial_1_No_Talking,0.028470372499461705,0.05181216907049693,0.042439474891424356,0.010944536178902575,0.00011978287217130736,0.2222222222222222,0.0299907980795499,0.0008105621102581054,11.11111111111111,10.786269299553988,6.6482538762718e-06,0.661741914071518,0.24569857979569112,0.6512770882896689,0.10302433191463999,0.6512770882896689,5.912063436243101,10.187526764132834,7.770559022598519,2.165115057174749,4.687723210804816,0.16666666666666666,1293.2422807440155,34.95249407416258,,
COUGH,COUGH_Trial_1_No_Talking_IMU_seg0001,COUGH_Trial_1_No_Talking_IMU_seg0001_c0005,39.167,39.978,0.8109999999999999,81,3863,3944,0.0622082237369326,0.0343360183689964,True,,5,Trial_1_No_Talking,IMU,Trial_1_No_Talking,0.03671828363249204,0.06220822373693269,0.05354077136495859,0.01253531542363319,0.00015713413276997613,0.175,0.10920682058620679,0.0013482323529161332,2.5,5.896984097062166,4.8030877216675255e-05,0.5940081355675725,0.40524129062537745,0.23347656151922005,0.36128214785540247,0.40524129062537745,10.375114829188398,19.147148384846613,16.673743179189934,3.6924606056226867,13.634265324075459,0.05,8719.083625226445,107.643007718845,,
COUGH,COUGH_Trial_1_No_Talking_IMU_seg0001,COUGH_Trial_1_No_Talking_IMU_seg0001_c0006,42.026,48.951,6.924999999999997,684,4145,4829,0.3498392453691351,0.0343360183689964,True,,5,Trial_1_No_Talking,IMU,Trial_1_No_Talking,0.07485955927908096,0.34983924536913513,0.34529366244978615,0.04572822460479102,0.002091070525506215,0.06442166910688141,3.8331042729734337,0.0056039536154582365,0.29239766081871343,2.2629192604560546,0.002639108897275405,0.5179574876411277,0.20344871542710719,0.4821708368090439,0.314380447763849,0.4821708368090439,12.310491922129811,49.10266020581781,48.072130926422275,6.766275529296413,45.78248453835546,0.06734992679355783,103658.97657353917,151.54821136482335,,
COUGH,COUGH_Trial_1_No_Talking_IMU_seg0001,COUGH_Trial_1_No_Talking_IMU_seg0001_c0007,50.127,50.705,0.5779999999999959,58,4944,5002,0.0663334366934764,0.0343360183689964,True,,5,Trial_1_No_Talking,IMU,Trial_1_No_Talking,0.049275733119909494,0.06633343669347645,0.05236191152719574,0.013358598807633348,0.00017845216210330312,0.07017543859649122,0.14082967672126362,0.0024280978745045453,3.4482758620689657,5.42731861648857,5.686189767596797e-05,0.37377395207134523,0.39328063038398575,0.30164989158146904,0.30506947803454526,0.39328063038398575,8.421116309233817,12.869902456754113,10.332128573508946,3.202027428514169,10.252979652957064,0.07017543859649122,4113.08159383134,70.91519989364379,,
COUGH,COUGH_Trial_1_No_Talking_IMU_seg0001,COUGH_Trial_1_No_Talking_IMU_seg0001_c0008,52.246,55.835,3.588999999999998,355,5153,5508,0.0663093016504062,0.0343360183689964,True,,5,Trial_1_No_Talking,IMU,Trial_1_No_Talking,0.035298273712757414,0.06630930165040622,0.06256913816570091,0.01349229654179253,0.00018204206597166665,0.1016949152542373,0.4423186851207631,0.0012459681271007412,3.389830508474576,4.389535401785844,0.0002814553436654705,0.6305067586606119,0.34292861984609013,0.42765998320993065,0.22941139694397925,0.42765998320993065,7.5354329912468065,17.672886817047353,17.235159001889564,3.154271398709176,9.949428056714742,0.059322033898305086,20157.87637977763,56.78275036557079,,
COUGH,COUGH_Trial_1_No_Talking_IMU_seg0001,COUGH_Trial_1_No_Talking_IMU_seg0001_c0009,56.82,57.498,0.6779999999999973,68,5604,5672,0.0827296422179562,0.0343360183689964,True,,5,Trial_1_No_Talking,IMU,Trial_1_No_Talking,0.0369599948997951,0.08272964221795623,0.07715258715110491,0.019574466391543713,0.0003831597345136744,0.05970149253731343,0.09289080316351583,0.00136604122299288,2.941176470588235,3.697890778115211,0.00010620048731646686,0.45617780016524184,0.4819005360836625,0.4168281536181846,0.10127131029815288,0.4819005360836625,7.329626203282225,11.04167752444615,8.54869773103135,2.403631517559329,5.777444472204563,0.08955223880597014,3653.1925790292153,53.7234202798414,,
COUGH,COUGH_Trial_1_No_Talking_IMU_seg0001,COUGH_Trial_1_No_Talking_IMU_seg0001_c0010,61.016,61.352,0.3359999999999985,34,6018,6052,0.0411979027640335,0.0343360183689964,True,,5,Trial_1_No_Talking,IMU,Trial_1_No_Talking,0.019013780835010968,0.04119790276403354,0.03949641458047809,0.011671162445062127,0.00013621603281902854,0.12121212121212122,0.012291811295822233,0.00036152386164183036,5.88235294117647,6.957506862532756,3.6037850509476557e-06,0.5870498883735251,0.5855319277271287,0.10706849486505053,0.30739957740782076,0.5855319277271287,3.037067887860618,5.721608340810841,4.822486065180987,1.4250916602710164,2.0308862401740018,0.09090909090909091,313.6085660861213,9.223781355474156,,
