dataset,segment_id,candidate_id,start_timestamp,end_timestamp,duration_seconds,sample_count,start_index,end_index,peak_activity_score,threshold_used,filtered,filter_skip_reason,subject_id,record_id,sensor_id,true_label,primary_rms,primary_peak,primary_peak_to_peak,primary_std,primary_variance,primary_zero_crossing_rate,primary_energy,primary_mean_energy,primary_dominant_frequency_hz,primary_spectral_centroid_hz,primary_band_power,primary_spectral_entropy,primary_bcg_x_contribution,primary_bcg_y_contribution,primary_bcg_z_contribution,primary_directional_consistency,sensors_involved,max_sensor_overlap_fraction
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0001,0.068,0.496,0.428,215,34,249,1.834969728121883,0.0738309576248648,True,,154100,154100,BCG_3AXIS,0,0.4184624159530235,1.834969728121883,1.8290017494656714,0.36204835576811073,0.13107901191439247,0.028037383177570093,37.648820616526876,0.17511079356524129,4.672897196261682,11.163493890400142,0.02073113032577013,0.3999833146286563,0.27928835603084373,0.2550785316421065,0.46563311232704985,0.46563311232704985,,
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0002,32.128,33.076,0.9480000000000004,475,16064,16539,0.2698369144154241,0.0738309576248648,True,,154100,154100,BCG_3AXIS,0,0.1148160755925349,0.2698369144154241,0.25466718513499603,0.0569062108343973,0.0032383168315288763,0.016877637130801686,6.261797326873578,0.013182731214470689,2.109704641350211,5.01335261053637,0.0008571213781117073,0.3521984176432419,0.08599186826185148,0.3776808561719372,0.5363272755662113,0.5363272755662113,,
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0003,39.598,40.076,0.4780000000000015,240,19799,20039,0.1740494781473227,0.0738309576248648,True,,154100,154100,BCG_3AXIS,0,0.08390036669411129,0.17404947814732274,0.15302195269895869,0.036637967564081934,0.0013423406672267199,0.02092050209205021,1.6894251675375211,0.007039271531406338,4.166666666666667,5.9864468603990675,0.000259916281482722,0.2813103099708735,0.09636976594596883,0.40024176283783236,0.5033884712161988,0.5033884712161988,,
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0004,40.742,42.762,2.020000000000003,1011,20371,21382,0.1776727458833105,0.0738309576248648,True,,154100,154100,BCG_3AXIS,0,0.08902594071644576,0.17767274588331056,0.17495117620867562,0.0407778516866383,0.0016628331881774702,0.019801980198019802,8.012799919773045,0.007925618120448116,0.9900990099009901,4.156388720558299,0.001187846926899338,0.4296840100842878,0.3823829444168511,0.49950494273308027,0.11811211285006856,0.49950494273308027,,
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0005,45.266,46.272,1.0060000000000002,504,22633,23137,0.1658059251792246,0.0738309576248648,True,,154100,154100,BCG_3AXIS,0,0.07350159593220669,0.16580592517922466,0.1517968225641747,0.0331145265346857,0.001096571867616403,0.02385685884691849,2.7228522407090168,0.005402484604581382,5.9523809523809526,5.468063396461656,0.000566440729088056,0.3466500140845818,0.12579579636328256,0.5139753064054063,0.3602288972313111,0.5139753064054063,,
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0006,55.538,56.968,1.4300000000000068,716,27769,28485,0.1601298493087383,0.0738309576248648,True,,154100,154100,BCG_3AXIS,0,0.08323433592894736,0.1601298493087383,0.1397117061519522,0.029084017968547125,0.000845880101194772,0.03076923076923077,4.960415549113526,0.006927954677532857,5.58659217877095,5.6827934878860935,0.0005313782778955645,0.362889230651401,0.3680661993511375,0.4974782486975692,0.1344555519512933,0.4974782486975692,,
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0007,57.62,58.404,0.784000000000006,393,28810,29203,0.1566995372636936,0.0738309576248648,True,,154100,154100,BCG_3AXIS,0,0.07944067278508411,0.15669953726369368,0.14871417182957705,0.034087915881439675,0.0011619860091401071,0.02040816326530612,2.4801524535708936,0.006310820492546803,2.5510204081632653,4.102848303405342,0.0003921460580857931,0.2699263534113537,0.5179047357079918,0.4206276833214319,0.06146758097057632,0.5179047357079918,,
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0008,62.968,63.418,0.4499999999999957,226,31484,31710,0.0819264260431021,0.0738309576248648,True,,154100,154100,BCG_3AXIS,0,0.05641437436563736,0.08192642604310213,0.07276867526705572,0.0200081666021484,0.0004003267307793267,0.02666666666666667,0.7192634495249797,0.0031825816350662815,4.424778761061947,6.114784281510664,7.364929835630097e-05,0.2526138326215611,0.0414917796461844,0.785220865938568,0.17328735441524765,0.785220865938568,,
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0009,67.364,69.656,2.2920000000000016,1147,33682,34829,0.3291698130487346,0.0738309576248648,True,,154100,154100,BCG_3AXIS,0,0.13969722144580282,0.3291698130487346,0.3256751156151406,0.06939551846126998,0.004815737982508464,0.020942408376963352,22.384064790590287,0.01951531367967767,0.8726003490401395,5.543892417636715,0.003761152335956077,0.40618235440343,0.025100054545187916,0.8232154363963137,0.1516845090584984,0.8232154363963137,,
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0010,70.538,72.764,2.225999999999999,1114,35269,36383,0.1041947637850335,0.0738309576248648,True,,154100,154100,BCG_3AXIS,0,0.058480259753755676,0.10419476378503353,0.09880555834899832,0.023878274823732976,0.00057017200855772,0.025157232704402517,3.809814029885544,0.003419940780866736,1.7953321364452421,5.788055632847252,0.0005127098750753088,0.43557134414703785,0.3795233681593539,0.4811077177724753,0.1393689140681708,0.4811077177724753,,
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0011,76.406,76.956,0.5499999999999972,276,38203,38479,0.1612946503470164,0.0738309576248648,True,,154100,154100,BCG_3AXIS,0,0.09112230260616831,0.1612946503470164,0.15671956984219296,0.03815122595282214,0.0014555160417032893,0.02181818181818182,2.29170363290103,0.008303274032250108,7.246376811594202,6.628873287278135,0.0005276807148113274,0.2765636356950914,0.07088263829104736,0.8065869370331628,0.12253042467578977,0.8065869370331628,,
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0012,79.106,79.434,0.3280000000000029,165,39553,39718,0.1486244850984665,0.0738309576248648,True,,154100,154100,BCG_3AXIS,0,0.0865555460540301,0.1486244850984665,0.12472949885961336,0.032645836082728426,0.0010657506135403733,0.024390243902439025,1.2361573211973684,0.007491862552711324,6.097560975609756,8.508453764061036,0.00018156005817401453,0.2427415066523545,0.26623976766560986,0.5119583494084847,0.22180188292590539,0.5119583494084847,,
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0013,97.672,98.25,0.578000000000003,290,48836,49126,0.1076223892439902,0.0738309576248648,True,,154100,154100,BCG_3AXIS,0,0.06793486868957394,0.10762238924399029,0.09792498346290655,0.02423929549074763,0.0005875434458877784,0.02768166089965398,1.3383924513221994,0.004615146383869653,6.8965517241379315,6.516717769705062,0.00014576076830008787,0.24492221215251844,0.06820636850492855,0.7484337877128329,0.18335984378223866,0.7484337877128329,,
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0014,119.514,119.816,0.3020000000000067,152,59757,59909,0.0901808884139947,0.0738309576248648,True,,154100,154100,BCG_3AXIS,0,0.06533769575836172,0.09018088841399473,0.07585126265842941,0.022568347971521675,0.0005093303301636865,0.026490066225165563,0.6488902020258605,0.00426901448701224,6.578947368421053,6.524644137070323,7.91925599538387e-05,0.28398645029353997,0.06335899903597565,0.84091648903052,0.09572451193350436,0.84091648903052,,
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0015,124.99,125.37,0.3800000000000096,191,62495,62686,0.1413859839911458,0.0738309576248648,True,,154100,154100,BCG_3AXIS,0,0.08349247356071687,0.14138598399114582,0.12359438292220214,0.030715695059815,0.0009434539230075437,0.04736842105263158,1.331459689985818,0.0069709931412870055,5.2631578947368425,10.56247808899855,0.0001610294942379323,0.37973842710064926,0.6563674307537167,0.12673886886575325,0.21689370038052994,0.6563674307537167,,
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0016,130.158,131.072,0.9140000000000156,458,65079,65537,0.1059454361474165,0.0738309576248648,True,,154100,154100,BCG_3AXIS,0,0.061599857498972545,0.10594543614741657,0.09234029763538908,0.0260863578280909,0.0006804980647351994,0.02188183807439825,1.7379004393033257,0.0037945424438937244,8.73362445414847,6.883553022392574,0.0003268841102367068,0.3891811710183577,0.20797234283382857,0.6514808181381452,0.14054683902802625,0.6514808181381452,,
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0017,133.034,133.568,0.5340000000000202,268,66517,66785,0.093122485604435,0.0738309576248648,True,,154100,154100,BCG_3AXIS,0,0.05148403965018949,0.09312248560443505,0.08294702952572901,0.021543655360062437,0.00046412908627314697,0.02247191011235955,0.7103624987722119,0.0026506063387022835,7.462686567164178,8.785770975290266,5.2676731409646304e-05,0.3563744216637324,0.12512167681145747,0.7370094567449708,0.13786886644357174,0.7370094567449708,,
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0018,134.836,135.578,0.7419999999999902,372,67418,67790,0.3725114646137366,0.0738309576248648,True,,154100,154100,BCG_3AXIS,0,0.17723197479181516,0.37251146461373663,0.36026715190226,0.09538521541535148,0.009098339319833006,0.0215633423180593,11.684956314561656,0.031411172888606606,8.064516129032258,6.878414276412184,0.0031975831964860466,0.3315511722784331,0.04785140931994958,0.8989722325745826,0.05317635810546783,0.8989722325745826,,
