dataset,record_identifier,segment_id,sample_count,duration_seconds,sampling_rate_hz,acc_mean,acc_std,acc_rms,acc_peak_to_peak,jerk_rms,jerk_peak_to_peak,acc_dominant_frequency_hz,acc_spectral_centroid_hz,acc_spectral_bandwidth_hz,acc_spectral_energy,gyro_mean,gyro_std,gyro_rms,gyro_peak_to_peak,gyro_dominant_frequency_hz,gyro_spectral_centroid_hz,gyro_spectral_bandwidth_hz,gyro_spectral_energy,subject_id,sensor_id
COUGH,"('005', 'IMU')",1,13694,138.835,100.0,0.8973570943319648,0.13371991006595818,0.9072655449734407,4.0675519913653835,6.1349312412991,435.40217097283477,2.294921875,3.6600425560021623,4.52982175727493,0.4126821238002528,15.728557813650262,37.57329165539396,40.732539531910305,691.2519923601899,0.048828125,1.8670469021525853,3.621967932896751,7851.868158241351,005,IMU
COUGH,"('005', 'IMU')",2,4791,48.56400000000002,100.0,0.9961344220687909,0.15043397480490892,1.0074294851779593,1.95896640341221,12.465311981579138,267.7870252091845,0.048828125,10.245699882304352,13.351263057931696,0.5752894573966224,101.09201457708025,87.71495567678436,133.84135706362534,1094.0249453667846,0.09765625,5.085901030740815,7.951884536334154,172919.70644679578,005,IMU
COUGH,"('005', 'IMU')",3,76638,777.018,100.0,1.1011736259118945,0.2638207352769937,1.132335963734281,6.791850524503601,9.947874152780201,670.1743321789788,2.392578125,4.1907631005178185,5.103595522905492,1.423205920768259,32.653546065460084,45.7090142093811,56.174443038115896,577.9776239231769,0.048828125,9.144172730916415,9.828207954124704,14034.088568290521,005,IMU
COUGH,"('005', 'IMU')",4,75526,765.739,100.0,1.1011116230950697,0.30886626055408295,1.1436105864426587,6.664671126277264,11.214893411886209,745.868414517582,2.44140625,4.071446634381817,4.978604836324704,1.964098815976677,40.22218542393942,52.326611706314985,65.99923100265052,564.7199506855912,0.048828125,8.711773533022795,8.83321512570651,21726.766172256226,005,IMU
COUGH,"('005', 'IMU')",5,74650,756.853,100.0,1.1001211906425332,0.23932429800712396,1.125852012352133,5.651100809495499,8.806985344152656,529.3951429724509,2.490234375,4.1613486057035685,4.959469352833337,1.215113180155547,32.185469165399915,36.70979561368094,48.82124045326109,497.6073663316121,0.048828125,8.854081716748741,9.968832602930885,11736.44957408431,005,IMU
COUGH,"('006', 'IMU')",1,74962,760.068,100.0,1.142995951979387,0.45245767963325123,1.2292915431663762,6.748291286278314,18.655403071077814,722.1977081417767,2.685546875,4.871302953346368,5.60062771357622,4.189290877533184,57.36165314439129,96.68069098107773,112.41670365224245,1174.1026128185033,2.685546875,8.245764959216867,7.3258207821706,96092.45428147519,006,IMU
COUGH,"('006', 'IMU')",2,78292,793.844,100.0,1.1462801237725586,0.47647133127009933,1.2413633842184697,6.750505329315653,20.941574356195993,883.9264888018783,2.734375,5.203858426623619,6.19622258878949,4.675032673838956,65.52820191851086,98.01952904785847,117.90578154372709,1309.0267727441635,2.734375,9.217794842516671,8.410882050751987,103584.28040209894,006,IMU
COUGH,"('006', 'IMU')",3,73131,741.501,100.0,1.1557193283601772,0.5213820028314569,1.2678826281725923,8.083979009641558,23.93259442006947,1042.3444047712278,2.734375,5.468881388815428,6.383151753989729,5.533582383155899,69.00011160518402,101.20271382359483,122.48675310738008,1326.3031936534626,2.734375,8.016828918908331,7.789490651764138,105219.58519780578,006,IMU
COUGH,"('007', 'IMU')",1,77869,789.532,100.0,0.9374759711644748,0.3327984068129989,0.9947944391119431,4.676648701612694,12.80394619538375,492.2755313362876,2.63671875,4.614159235086338,5.074211576046005,2.2204043611898454,26.018350992325967,40.57888699915568,48.20374112504252,495.3171612956692,2.63671875,7.133766806582502,6.273631570226198,14970.562690089635,007,IMU
COUGH,"('007', 'IMU')",2,74055,750.858,100.0,0.9344924201402174,0.3531777645375914,0.9990048131331954,4.875664096759761,13.543349977422606,627.5464541023944,2.587890625,4.469610642430004,5.161651452298329,2.5323912648612072,26.225773300124363,39.353435481063954,47.2914798811771,460.0840263538825,5.17578125,6.881568403999301,6.174849300360919,14523.163651446172,007,IMU
