movement_id,subject_id,record_id,start_time,end_time,duration,dataset,candidate_id,sensor_id,artifact_filtered,filter_method,artifact_probability,primary_rms,primary_peak,primary_peak_to_peak,primary_std,primary_variance,primary_energy,primary_mean_energy,primary_dominant_frequency_hz,primary_spectral_centroid_hz,primary_band_power,primary_spectral_entropy,primary_directional_consistency,resultant_direction,sensors_involved,max_sensor_overlap_fraction,inter_event_interval_seconds
OXFORD_mv000001,154100,154100,0.058,0.384,0.326,OXFORD,OXFORD_154100_BCG_3AXIS_seg0001_c0001,BCG_3AXIS,False,unfiltered,,0.4857061667089215,1.8868524454367768,1.87151874928304,0.424502438717906,0.1802023204774495,38.68931878216825,0.2359104803790747,6.097560975609756,12.355449965063215,0.0154351590759869,0.3958039894060003,0.4709658525952936,bcg_z,,,
OXFORD_mv000002,154100,154100,32.134,32.966,0.8320000000000007,OXFORD,OXFORD_154100_BCG_3AXIS_seg0001_c0002,BCG_3AXIS,False,unfiltered,,0.1285063901968802,0.3009080088129343,0.2776575404945481,0.0671975477807543,0.0045155104277467,6.886293098037495,0.0165138923214328,2.4038461538461537,4.341781034981086,0.0009929136922179,0.3296960239673541,0.5176145927867772,bcg_z,,,31.75
OXFORD_mv000003,154100,154100,39.61,42.622,3.0120000000000005,OXFORD,OXFORD_154100_BCG_3AXIS_seg0001_c0003,BCG_3AXIS,False,unfiltered,,0.0912866381623705,0.2131323588762641,0.2040390161786462,0.0444212371187445,0.0019732463071597,12.558208212630255,0.0083332503069875,0.6640106241699867,4.0549376414592375,0.0023651261195972,0.4552994929146343,0.4990983540628084,bcg_y,,,6.643999999999998
OXFORD_mv000004,154100,154100,45.26,46.276,1.0160000000000051,OXFORD,OXFORD_154100_BCG_3AXIS_seg0001_c0004,BCG_3AXIS,False,unfiltered,,0.0785717700028388,0.1874525308633688,0.1698217734982375,0.0375100129452655,0.0014070010711539,3.142323228061915,0.006173523041379,1.968503937007874,4.956240901434573,0.0007018617467704,0.3281034811748914,0.5323059543811562,bcg_y,,,2.637999999999998
OXFORD_mv000005,154100,154100,55.54,56.814,1.274000000000001,OXFORD,OXFORD_154100_BCG_3AXIS_seg0001_c0005,BCG_3AXIS,False,unfiltered,,0.0897743312730757,0.1737209749925137,0.1522808372079263,0.0332083748603608,0.0011027961608662,5.141916694426832,0.0080594305555279,4.702194357366771,4.661508237754258,0.0008403489280464,0.3460495515131,0.4961821215649821,bcg_y,,,9.263999999999996
OXFORD_mv000006,154100,154100,57.62,58.404,0.784000000000006,OXFORD,OXFORD_154100_BCG_3AXIS_seg0001_c0006,BCG_3AXIS,False,unfiltered,,0.0801332032552006,0.1540650944179139,0.1469415148372246,0.0331984655359398,0.0011021381139409,2.523582793728146,0.0064213302639393,2.5510204081632653,4.218261028297178,0.0003703344459986,0.2737050511765505,0.5172130856291407,bcg_x,,,0.8059999999999974
OXFORD_mv000007,154100,154100,63.114,63.424,0.3100000000000023,OXFORD,OXFORD_154100_BCG_3AXIS_seg0001_c0007,BCG_3AXIS,False,unfiltered,,0.060387065313036,0.0915385517225521,0.0835426402436636,0.0233208885676274,0.0005438638435836,0.5688692345108581,0.0036465976571208,6.410256410256411,6.838923879608906,6.663803072306852e-05,0.2776380354720615,0.8528992080260032,bcg_y,,,4.709999999999994
OXFORD_mv000008,154100,154100,67.37,69.65,2.280000000000001,OXFORD,OXFORD_154100_BCG_3AXIS_seg0001_c0008,BCG_3AXIS,False,unfiltered,,0.1404677841162494,0.3169068681947594,0.310321606196657,0.0691501477162718,0.0047817429291822,22.51329734533789,0.0197311983745292,0.8771929824561403,5.571918984025862,0.004609650436069,0.4057261931914139,0.8230295666594399,bcg_y,,,3.946000000000005
OXFORD_mv000009,154100,154100,70.36,72.764,2.4039999999999964,OXFORD,OXFORD_154100_BCG_3AXIS_seg0001_c0009,BCG_3AXIS,False,unfiltered,,0.0613575488843197,0.1245872582011457,0.1191368595475197,0.0258593705755963,0.000668707046566,4.5289928125252965,0.0037647488050916,2.4958402662229617,4.335050994950239,0.0006305603789599,0.4481921002102804,0.4734410781619796,bcg_y,,,0.7099999999999937
OXFORD_mv000010,154100,154100,76.402,77.356,0.9539999999999936,OXFORD,OXFORD_154100_BCG_3AXIS_seg0001_c0010,BCG_3AXIS,False,unfiltered,,0.0779038507701468,0.1644785150088429,0.1552880651174044,0.0369041826454656,0.0013619186967298,2.900986763182672,0.0060690099648173,6.276150627615063,5.808203431073348,0.0007192857035779,0.3225841016381616,0.6850945272954393,bcg_y,,,3.6380000000000052
OXFORD_mv000011,154100,154100,97.78,98.246,0.465999999999994,OXFORD,OXFORD_154100_BCG_3AXIS_seg0001_c0011,BCG_3AXIS,False,unfiltered,,0.0709592883491478,0.1113110234106306,0.100902498184332,0.0272018237690391,0.0007399392163618,1.1782416211060955,0.0050352206030175,8.547008547008547,6.329225866018676,0.0001523554514664,0.3003177794255691,0.7978482676177282,bcg_y,,,20.424000000000007
