movement_id,subject_id,record_id,start_time,end_time,duration,dataset,candidate_id,sensor_id,artifact_filtered,filter_method,artifact_probability,primary_rms,primary_peak,primary_peak_to_peak,primary_std,primary_variance,primary_energy,primary_mean_energy,primary_dominant_frequency_hz,primary_spectral_centroid_hz,primary_band_power,primary_spectral_entropy,primary_directional_consistency,resultant_direction,secondary_rms,secondary_peak,secondary_zero_crossing_rate,sensors_involved,max_sensor_overlap_fraction,inter_event_interval_seconds
FOUR_IMU_mv000001,record_1,record_1,42.59247303009033,42.9284188747406,0.3359458446502685,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0002_c0001,IMU1,True,trained_model,0.0266666666666666,335.2552180915861,604.2993484272334,478.0849912190091,123.82799763310652,15333.372997824634,1236356.6738340063,112396.06125763692,,,,,0.4554920422846408,ax,194.15384867189672,287.28831090637647,0.4,3.0,1.0,34.454480887090334
FOUR_IMU_mv000002,record_1,record_1,51.70195293426514,51.96998000144959,0.2680270671844553,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0002_c0002,IMU1,True,trained_model,0.01,166.02471750970136,303.1650805493351,240.5531101370072,84.58069145246708,7153.893366577437,248077.86141758523,27564.206824176137,,,,,0.5217191242484289,az,99.80261950197996,182.62718037852645,0.25,0.0,0.0,8.773534059524536
FOUR_IMU_mv000003,record_1,record_1,65.48254489898682,65.95340585708618,0.4708609580993652,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0002_c0003,IMU1,True,trained_model,0.2066666666666666,196.66920850095943,314.2392574419318,225.01182537306576,65.8660537964161,4338.337042712379,580181.663585908,38678.77757239387,,,,,0.546345822066685,az,34.809533616432184,58.645630964230776,0.4285714285714285,0.0,0.0,0.018301729986816895
FOUR_IMU_mv000004,record_1,record_1,128.12661981582642,128.63068199157715,0.5040621757507324,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0002_c0004,IMU1,True,trained_model,0.1266666666666666,185.567633754712,377.60394836139255,333.66791181204866,86.58131544408002,7496.324184027288,550965.5471571669,34435.34669732293,1.875,2.3693549723228604,1096.7276814229683,0.6265973282554347,0.4262253736222295,ax,40.32702363604247,72.11120421883511,0.2,0.0,0.0,48.959137676826415
FOUR_IMU_mv000005,record_1,record_1,168.17017793655396,168.4390230178833,0.2688450813293457,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0002_c0005,IMU1,True,trained_model,0.0,183.07558421404292,314.95414210295166,300.80895975699434,94.69107786844975,8966.400227888815,301650.0258178182,33516.66953531313,,,,,0.4542744989916999,az,59.0733782535318,94.77995702069704,0.375,0.0,0.0,9.451911007553946
FOUR_IMU_mv000006,record_1,record_1,287.2594738006592,287.79606580734253,0.5365920066833496,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0003_c0001,IMU1,True,trained_model,0.2766666666666666,250.1966867863944,476.4827489355761,383.0746709990629,92.36145784733252,8530.63889568458,1064172.4953411156,62598.38207888915,1.875,6.252234257302617,1136.2736619240889,0.8183705012957769,0.4421867805639815,ax,177.45310062580276,283.2849307319521,0.25,2.0,0.5006300458092896,50.73092267165919
FOUR_IMU_mv000007,record_1,record_1,289.2744648456573,289.77835988998413,0.5038950443268391,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0003_c0002,IMU1,True,trained_model,0.1566666666666666,183.1523039274596,344.4211828555487,284.3622568451989,85.55001370469984,7318.804844874329,536716.2629429846,33544.76643393654,0.0,6.031084504421566,731.6033383903455,0.8877793670530097,0.4876432087332552,az,102.45922828179316,191.35419226755013,0.4,1.0,0.133861117801042,1.4783990383147625
FOUR_IMU_mv000008,record_1,record_1,398.1307380199432,398.5688898563385,0.4381518363953205,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0004_c0001,IMU1,True,trained_model,0.0066666666666666,158.4110355108932,297.23611862995705,251.56932904755297,78.63842334162521,6184.001625656666,351316.7864028686,25094.05617163347,,,,,0.8695829657796817,az,57.23582269271298,143.51020782308484,0.4615384615384615,1.0,0.4911881936348405,21.916642890943194
FOUR_IMU_mv000009,record_1,record_1,437.9884479045868,438.4923248291016,0.5038769245148274,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0004_c0002,IMU1,True,trained_model,0.1533333333333333,148.28516324452923,303.4064822830318,256.3695952883453,81.8642511945367,6701.755623642204,351815.83421530697,21988.489638456685,1.875,2.467859872251725,684.9147750867394,0.5984778788537208,0.605664155726181,ay,47.779096233612776,131.5228505818691,0.2666666666666666,2.0,0.1088660853321021,27.4575059755868
FOUR_IMU_mv000010,record_1,record_1,442.6961059570313,443.065623998642,0.3695180416107178,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0004_c0003,IMU1,True,trained_model,0.03,217.56521600709092,302.73920899928254,197.851306798314,63.84409509333197,4076.068478286416,568015.4785945457,47334.62321621215,,,,,0.3577847796508535,ay,131.32282832312845,189.20504701930676,0.3636363636363636,0.0,0.0,4.2037811279296875
