movement_id,subject_id,record_id,start_time,end_time,duration,dataset,candidate_id,sensor_id,artifact_filtered,filter_method,artifact_probability,primary_rms,primary_peak,primary_peak_to_peak,primary_std,primary_variance,primary_energy,primary_mean_energy,primary_dominant_frequency_hz,primary_spectral_centroid_hz,primary_band_power,primary_spectral_entropy,primary_directional_consistency,resultant_direction,secondary_rms,secondary_peak,secondary_zero_crossing_rate,sensors_involved,max_sensor_overlap_fraction,inter_event_interval_seconds
COUGH_mv000001,5,Trial_1_No_Talking,9.611,17.023,7.411999999999999,COUGH,COUGH_Trial_1_No_Talking_IMU_seg0001_c0001,IMU,False,unfiltered,,0.5829815269140988,2.541902035004155,2.534543003584806,0.4432785443308203,0.1964958678640511,248.78298124930484,0.339867460723094,0.2732240437158469,4.082798554687838,0.396833302507187,0.6572288251544781,0.717047186776223,ay,60.24296864567432,298.8820436002103,0.0766073871409028,,,-0.48799999999999955
COUGH_mv000002,5,Trial_1_No_Talking,22.701,23.147,0.4459999999999979,COUGH,COUGH_Trial_1_No_Talking_IMU_seg0001_c0002,IMU,False,unfiltered,,0.0363518286497909,0.0706419494908973,0.0564247220531904,0.0122437167090476,0.0001499085988514,0.0594654950782691,0.0013214554461837,4.545454545454546,8.962917605690949,2.030757694040557e-05,0.6231910843630899,0.4930347280614556,ay,8.815919820575997,18.37953127734603,0.0909090909090909,,,0.9610000000000021
COUGH_mv000003,5,Trial_1_No_Talking,24.546,25.824,1.2780000000000022,COUGH,COUGH_Trial_1_No_Talking_IMU_seg0001_c0003,IMU,False,unfiltered,,0.064816465206039,0.194645087320582,0.1855662766669306,0.0326391555622088,0.001065314475814,0.5335491185493194,0.0042011741618056,1.5873015873015872,7.526928525785526,0.0004830031117224,0.7010171814827952,0.3531479598178712,az,17.394600804983465,43.23953615671079,0.1269841269841269,,,1.399000000000001
COUGH_mv000004,5,Trial_1_No_Talking,31.501,31.866,0.3649999999999984,COUGH,COUGH_Trial_1_No_Talking_IMU_seg0001_c0004,IMU,False,unfiltered,,0.0284703724994617,0.0518121690704969,0.0424394748914243,0.0109445361789025,0.0001197828721713,0.0299907980795499,0.0008105621102581,11.11111111111111,10.786269299553988,6.6482538762718e-06,0.661741914071518,0.6512770882896689,ay,5.912063436243101,10.187526764132834,0.1666666666666666,,,2.4440000000000026
COUGH_mv000005,5,Trial_1_No_Talking,39.167,39.978,0.8109999999999999,COUGH,COUGH_Trial_1_No_Talking_IMU_seg0001_c0005,IMU,False,unfiltered,,0.036718283632492,0.0622082237369326,0.0535407713649585,0.0125353154236331,0.0001571341327699,0.1092068205862067,0.0013482323529161,2.5,5.896984097062166,4.8030877216675255e-05,0.5940081355675725,0.4052412906253774,ax,10.375114829188398,19.147148384846613,0.05,,,5.325000000000003
COUGH_mv000006,5,Trial_1_No_Talking,42.026,48.951,6.924999999999997,COUGH,COUGH_Trial_1_No_Talking_IMU_seg0001_c0006,IMU,False,unfiltered,,0.0748595592790809,0.3498392453691351,0.3452936624497861,0.045728224604791,0.0020910705255062,3.8331042729734337,0.0056039536154582,0.2923976608187134,2.262919260456054,0.0026391088972754,0.5179574876411277,0.4821708368090439,ay,12.310491922129811,49.10266020581781,0.0673499267935578,,,2.048000000000002
COUGH_mv000007,5,Trial_1_No_Talking,50.127,50.705,0.5779999999999959,COUGH,COUGH_Trial_1_No_Talking_IMU_seg0001_c0007,IMU,False,unfiltered,,0.0492757331199094,0.0663334366934764,0.0523619115271957,0.0133585988076333,0.0001784521621033,0.1408296767212636,0.0024280978745045,3.4482758620689657,5.42731861648857,5.686189767596797e-05,0.3737739520713452,0.3932806303839857,ax,8.421116309233817,12.869902456754112,0.0701754385964912,,,1.8340000000000032
COUGH_mv000008,5,Trial_1_No_Talking,52.246,55.835,3.588999999999998,COUGH,COUGH_Trial_1_No_Talking_IMU_seg0001_c0008,IMU,False,unfiltered,,0.0352982737127574,0.0663093016504062,0.0625691381657009,0.0134922965417925,0.0001820420659716,0.4423186851207631,0.0012459681271007,3.389830508474576,4.389535401785844,0.0002814553436654,0.6305067586606119,0.4276599832099306,ay,7.5354329912468065,17.672886817047353,0.059322033898305,,,1.541000000000004
COUGH_mv000009,5,Trial_1_No_Talking,56.82,57.498,0.6779999999999973,COUGH,COUGH_Trial_1_No_Talking_IMU_seg0001_c0009,IMU,False,unfiltered,,0.0369599948997951,0.0827296422179562,0.0771525871511049,0.0195744663915437,0.0003831597345136,0.0928908031635158,0.0013660412229928,2.941176470588235,3.697890778115211,0.0001062004873164,0.4561778001652418,0.4819005360836625,ax,7.329626203282225,11.04167752444615,0.0895522388059701,,,0.32800000000000296
COUGH_mv000010,5,Trial_1_No_Talking,61.016,61.352,0.3359999999999985,COUGH,COUGH_Trial_1_No_Talking_IMU_seg0001_c0010,IMU,False,unfiltered,,0.0190137808350109,0.0411979027640335,0.039496414580478,0.0116711624450621,0.000136216032819,0.0122918112958222,0.0003615238616418,5.88235294117647,6.957506862532756,3.603785050947656e-06,0.5870498883735251,0.5855319277271287,ax,3.037067887860618,5.721608340810841,0.0909090909090909,,,3.5180000000000007
COUGH_mv000011,5,Trial_1_No_Talking,82.462,82.958,0.4959999999999951,COUGH,COUGH_Trial_1_No_Talking_IMU_seg0001_c0011,IMU,False,unfiltered,,0.0397772600316913,0.0678889532477176,0.0657305697476647,0.016507234135042,0.000272488778789,0.0791115207814393,0.0015822304156287,8.0,9.36368540607654,6.934480466089998e-05,0.5405736006482088,0.7353317392965627,ax,7.069516527897961,10.73087543217382,0.1020408163265306,,,7.0020000000000095
COUGH_mv000012,5,Trial_1_No_Talking,107.272,111.732,4.459999999999994,COUGH,COUGH_Trial_1_No_Talking_IMU_seg0001_c0012,IMU,False,unfiltered,,0.1248919934298895,0.4949603129750213,0.4933927749227854,0.0845592298234744,0.0071502633483391,6.878722420095189,0.0155980100228915,0.4545454545454545,2.686490156538053,0.0071717725770464,0.5662698400651248,0.6339667642182325,ay,25.827748965956022,95.73312661470624,0.059090909090909,,,0.9200000000000017
COUGH_mv000013,5,Trial_1_No_Talking,126.161,126.779,0.617999999999995,COUGH,COUGH_Trial_1_No_Talking_IMU_seg0001_c0013,IMU,False,unfiltered,,0.0959273788426482,0.2880825778580763,0.2755417010679458,0.0608393930166501,0.0037014317426344,0.5705278447204988,0.0092020620116209,6.451612903225807,7.724632101033359,6.24261879911321e-05,0.6464266091352425,0.6470544168926475,ay,19.32335852170665,54.92540434709255,0.081967213114754,,,8.941000000000003
COUGH_mv000014,5,Trial_1_No_Talking,128.067,138.835,10.768,COUGH,COUGH_Trial_1_No_Talking_IMU_seg0001_c0014,IMU,False,unfiltered,,0.2057929735495519,1.079474304800328,1.0783789674020872,0.1259664659100415,0.0158675505338656,45.01884508399567,0.0423507479623665,0.1883239171374764,7.214194762728261,0.040255674685989,0.7895022870265507,0.4278604554681697,az,106.18658560525988,601.134655260105,0.1016949152542373,,,1.288000000000011
COUGH_mv000015,5,Trial_1_No_Talking,259.529,260.736,1.2069999999999936,COUGH,COUGH_Trial_1_No_Talking_IMU_seg0002_c0001,IMU,False,unfiltered,,0.3300055043602236,0.627280315703024,0.5502363202684342,0.1311904998737924,0.0172109472571355,13.068435948965464,0.1089036329080455,1.6666666666666667,3.1903142050890883,0.0095971992366889,0.4347421144182722,0.6647203044945341,ay,127.42305157994016,295.08920524276533,0.1176470588235294,,,10.447000000000003
COUGH_mv000016,5,Trial_1_No_Talking,261.892,262.784,0.8919999999999959,COUGH,COUGH_Trial_1_No_Talking_IMU_seg0002_c0002,IMU,False,unfiltered,,0.3741644111212412,0.8938408714302275,0.8307608274751896,0.1800650351587261,0.0324234168867132,12.459911582923764,0.1399990065497052,2.272727272727273,6.795379077478282,0.0071009101337787,0.6541530089323722,0.3916912587606954,az,213.8484428813485,515.1334709609771,0.125,,,1.156000000000006
COUGH_mv000017,5,Trial_1_No_Talking,271.97,272.518,0.547999999999945,COUGH,COUGH_Trial_1_No_Talking_IMU_seg0002_c0003,IMU,False,unfiltered,,0.2092094769540032,0.3842478094757318,0.318519069254947,0.0892642152898747,0.0079681001313171,2.40727328860522,0.0437686052473676,3.7037037037037033,9.180720095898083,0.0006816278060625,0.724329112519197,0.3870047678908923,ax,154.46584146134643,358.9837394734889,0.1296296296296296,,,9.186000000000035
COUGH_mv000018,5,Trial_1_No_Talking,276.968,279.452,2.4839999999999804,COUGH,COUGH_Trial_1_No_Talking_IMU_seg0002_c0004,IMU,False,unfiltered,,0.2774454674230365,1.1750078432401094,1.163310954937395,0.169474954342311,0.0287217601493284,18.936092898822466,0.0769759873935872,2.4390243902439024,6.293520309946101,0.0075703091226893,0.7190219429755119,0.3979972541209364,az,179.88395606655268,823.0249051735456,0.1020408163265306,,,4.4500000000000455
COUGH_mv000019,5,Trial_1_No_Talking,280.091,281.591,1.5,COUGH,COUGH_Trial_1_No_Talking_IMU_seg0002_c0005,IMU,False,unfiltered,,0.3208668078690067,1.1562865209231874,1.136174752105946,0.1835017654028052,0.0336728979059461,15.340370750414866,0.102955508392046,1.351351351351351,7.32252659626159,0.0106352045600066,0.7245303284171143,0.5237961303454945,ay,186.18630324006625,511.6624209705463,0.1689189189189189,,,0.63900000000001
COUGH_mv000020,5,Trial_1_No_Talking,282.433,283.396,0.9630000000000224,COUGH,COUGH_Trial_1_No_Talking_IMU_seg0002_c0006,IMU,False,unfiltered,,0.3160219709769848,0.7710775201815899,0.7503935066410137,0.1444608539185459,0.0208689383148754,9.587509069457116,0.0998698861401782,4.166666666666667,13.257347665130515,0.0081963600220382,0.8385354585871256,0.4033610707947256,az,160.94390498126182,445.4529870777104,0.1684210526315789,,,0.8419999999999845
COUGH_mv000021,5,Trial_1_No_Talking,285.707,287.116,1.4089999999999918,COUGH,COUGH_Trial_1_No_Talking_IMU_seg0002_c0007,IMU,False,unfiltered,,0.7290074842982421,1.3758686284486266,1.24330718330068,0.3667710422427349,0.134520997427822,74.40326770279924,0.5314519121628517,2.8571428571428568,2.916914021221455,0.0960607156231151,0.3938861026637589,0.5116041748662582,az,143.82096584045948,383.8745224865584,0.0719424460431654,,,2.3109999999999786
