movement_id,subject_id,record_id,start_time,end_time,duration,dataset,candidate_id,sensor_id,artifact_filtered,filter_method,artifact_probability
FOUR_IMU_mv000033,record_1,record_1,994.5024268627168,994.93936085701,0.4369339942932129,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0008_c0009,IMU1,False,unfiltered,
FOUR_IMU_mv000034,record_1,record_1,1012.051074028015,1012.4596779346468,0.4086039066318108,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0008_c0010,IMU1,False,unfiltered,
FOUR_IMU_mv000035,record_1,record_1,1031.8847358226774,1032.1919679641724,0.3072321414949783,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0008_c0011,IMU1,False,unfiltered,
FOUR_IMU_mv000036,record_1,record_1,1033.6719529628754,1034.141949892044,0.4699969291687011,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0008_c0012,IMU1,False,unfiltered,
FOUR_IMU_mv000037,record_1,record_1,1035.6218519210815,1035.923753976822,0.3019020557403564,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0008_c0013,IMU1,False,unfiltered,
FOUR_IMU_mv000038,record_1,record_1,1043.7282829284666,1044.232262849808,0.5039799213413971,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0008_c0014,IMU1,False,unfiltered,
FOUR_IMU_mv000039,record_1,record_1,1051.731810808182,1052.2052810192106,0.473470211028598,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0008_c0015,IMU1,False,unfiltered,
FOUR_IMU_mv000040,record_1,record_1,1138.1398708820343,1138.4095258712769,0.2696549892425537,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0008_c0016,IMU1,False,unfiltered,
FOUR_IMU_mv000041,record_1,record_1,1215.2972059249878,1215.6344900131228,0.337284088134993,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0009_c0001,IMU1,False,unfiltered,
FOUR_IMU_mv000042,record_1,record_1,1224.3426430225372,1225.0815520286558,0.738909006118547,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0009_c0002,IMU1,False,unfiltered,
FOUR_IMU_mv000043,record_1,record_1,1230.191419839859,1230.6281809806824,0.4367611408233642,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0009_c0003,IMU1,False,unfiltered,
FOUR_IMU_mv000044,record_1,record_1,1231.3326988220217,1231.6686749458313,0.3359761238095871,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0009_c0004,IMU1,False,unfiltered,
FOUR_IMU_mv000045,record_1,record_1,1234.0557188987732,1234.4592268466952,0.4035079479219803,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0009_c0005,IMU1,False,unfiltered,
FOUR_IMU_mv000046,record_1,record_1,1235.1636660099032,1235.600764989853,0.4370989799497238,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0009_c0006,IMU1,False,unfiltered,
FOUR_IMU_mv000047,record_1,record_1,1343.010210990906,1343.2792170047758,0.2690060138697845,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0010_c0001,IMU1,False,unfiltered,
FOUR_IMU_mv000048,record_1,record_1,1397.5444288253782,1398.321871995926,0.7774431705477127,FOUR_IMU,FOUR_IMU_record_1_IMU1_seg0010_c0002,IMU1,False,unfiltered,
