model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
RandomForest,0.9818181818181818,0.02424242424242422,0.9833333333333334,0.03333333333333335,0.992,0.016000000000000014,0.9872227151730257,0.017265904310850448,0.9845371900826446,0.028491505102179168
SVM,0.9696969696969697,0.03833063830507127,0.9659420289855072,0.04172805811271877,0.9742424242424242,0.03374402644139408,0.97,0.037118429085533484,0.9852223534041716,0.0240490326120682
XGBoost,0.9575757575757576,0.07067820478600362,0.9666666666666666,0.06666666666666665,0.9738181818181818,0.035880425843037134,0.9698314108251997,0.05075235320268743,0.9829504132231405,0.027226201235957738
